Subject;Predicate;"	Object";;
Official Statements;crm:P94_has_created;Fengxian/Xuzhou Investigation Team;;
Official Statements;dcterms:publisher;Fengxian/Xuzhou Investigation Team;;
Official Statements;crm: P105_right_held_by;Fengxian/Xuzhou Investigation Team;;
Official Statements;dcterms:spatial;Xuzhou;;
Official Statements;dcterms:issued;28/01/2020;;
Official Statements;dcterms:valid;23/02/2020;;
Official Statements;crm:P2_has_type;Text;;
Official Statements;crm:P72_has_Title;关于网民反映“生育八孩女子”情况通报;;
Official Statements;crm:P72:has_Language;Chinese;;
Official Statements;dcterms:references;Xuzhou Chained Woman Incident;;
